40390	Forest Park	10/19/2007	W	4046
40440	California-Cermak	08/06/2009	W	1283
41300	Loyola	12/29/2002	U	1880
40650	North/Clybourn	06/30/2017	W	6004
41200	Argyle	02/27/2015	W	3331
41490	Harrison	08/03/2011	W	3044
40800	Sedgwick	03/17/2014	W	4060
41310	Paulina	10/19/2004	W	2155
40430	Clinton-Forest Park	12/27/2001	W	1904
40170	Ashland-Lake	07/29/2016	W	2754
41240	Addison-O'Hare	08/24/2006	W	2657
41010	Rockwell	09/03/2010	W	1638
40830	18th	11/29/2005	W	1064
40490	Grand/Milwaukee	07/15/2007	U	0
40300	Indiana	10/25/2015	U	474
40080	Sheridan	05/24/2003	A	2853
40990	69th	12/28/2002	A	3607
40790	Monroe/Dearborn	12/09/2003	W	5980
40870	Francisco	06/27/2006	W	1603
40430	Clinton-Forest Park	06/16/2005	W	2883
40900	Howard	09/07/2004	W	6201
41140	King Drive	03/09/2010	W	598
40720	East 63rd-Cottage Grove	06/26/2003	W	1344
40370	Washington/Dearborn	10/16/2004	A	3689
41130	Halsted-Orange	03/07/2015	A	1429
40380	Clark/Lake	04/18/2004	U	2464
41190	Jarvis	12/06/2007	W	1451
40070	Jackson/Dearborn	12/10/2015	W	8229
41350	Oak Park-Lake	06/24/2002	W	1438
40240	79th	08/23/2005	W	7029
40200	Randolph/Wabash	12/19/2012	W	7593
40730	Washington/Wells	08/24/2016	W	8520
40710	Chicago/Franklin	03/01/2002	W	3728
40420	Cicero-Cermak	05/23/2015	A	1053
40640	Madison/Wabash	10/19/2001	W	4600
40030	Pulaski-Lake	10/06/2009	W	2073
41500	Montrose-Brown	11/03/2017	W	2910
40750	Harlem-O'Hare	04/26/2004	W	2890
40750	Harlem-O'Hare	08/16/2003	A	1368
40160	LaSalle/Van Buren	07/21/2008	W	3437
40200	Randolph/Wabash	06/04/2010	W	6761
41330	Montrose-O'Hare	07/01/2017	A	1308
40530	Diversey	07/15/2006	A	3074
40990	69th	11/09/2005	W	6208
41330	Montrose-O'Hare	06/30/2006	W	2053
41430	87th	05/04/2015	W	4813
40850	Library	03/02/2008	U	1234
40570	California/Milwaukee	11/25/2010	U	1258
40630	Clark/Division	05/27/2004	W	6803
41310	Paulina	08/21/2008	W	0
41080	47th-South Elevated	08/24/2015	W	1398
41660	Lake/State	01/12/2006	W	9263
41010	Rockwell	09/28/2012	W	1836
40190	Sox-35th-Dan Ryan	05/25/2012	W	7826
40980	Harlem-Forest Park	05/17/2015	U	557
40730	Washington/Wells	10/27/2009	W	7294
40250	Kedzie-Homan-Forest Park	03/22/2007	W	1678
41080	47th-South Elevated	10/03/2007	W	1548
41000	Cermak-Chinatown	08/10/2004	W	3178
41280	Jefferson Park	05/23/2014	W	7027
40090	Damen-Brown	10/26/2007	W	2620
40420	Cicero-Cermak	05/25/2011	W	1130
40320	Division/Milwaukee	05/03/2004	W	4505
40520	Foster	11/03/2005	W	821
40680	Adams/Wabash	03/18/2010	W	8173
40780	Central Park	05/16/2012	W	1220
41030	Polk	09/01/2013	U	893
