40270	Main	03/25/2012	U	598
41120	35-Bronzeville-IIT	05/06/2008	W	2491
40570	California/Milwaukee	07/08/2007	U	1368
40370	Washington/Dearborn	03/06/2008	W	6898
40190	Sox-35th-Dan Ryan	06/18/2006	U	1472
40820	Rosemont	01/25/2012	W	4905
41220	Fullerton	10/11/2014	A	11579
41030	Polk	11/15/2011	W	3753
41510	Morgan-Lake	08/04/2012	A	978
41250	Central-Evanston	08/03/2011	W	894
41200	Argyle	01/22/2012	U	1813
40230	Cumberland	05/17/2004	W	4687
40800	Sedgwick	01/01/2014	U	1565
40540	Wilson	10/21/2010	W	7482
41500	Montrose-Brown	02/12/2016	W	2646
40720	East 63rd-Cottage Grove	10/19/2017	W	1259
40320	Division/Milwaukee	11/26/2005	A	1859
40380	Clark/Lake	02/08/2010	W	17364
40780	Central Park	08/16/2007	W	850
40370	Washington/Dearborn	02/09/2009	W	7187
41480	Western-Brown	10/23/2009	W	3625
41420	Addison-North Main	03/27/2008	W	5930
40850	Library	07/10/2003	W	2096
40690	Dempster	11/23/2006	U	234
41160	Clinton-Lake	11/05/2003	W	1793
41430	87th	05/22/2012	W	4822
40560	Jackson/State	01/31/2017	W	12437
41210	Wellington	05/07/2010	W	2293
41280	Jefferson Park	07/15/2001	U	2477
41440	Addison-Brown	07/30/2013	W	2305
41320	Belmont-North Main	09/04/2005	U	9039
41440	Addison-Brown	06/28/2015	U	1086
40610	Ridgeland	05/27/2002	U	221
40670	Western/Milwaukee	11/08/2009	U	1599
41080	47th-South Elevated	06/10/2003	W	1064
41400	Roosevelt	10/03/2004	U	6687
40530	Diversey	07/06/2007	W	0
40150	Pulaski-Cermak	01/30/2012	W	1294
40700	Laramie	12/26/2007	W	1133
41200	Argyle	06/04/2017	U	1989
40140	Dempster-Skokie	08/14/2016	U	1237
41080	47th-South Elevated	11/12/2006	U	518
40840	South Boulevard	09/06/2004	U	226
40220	Western-Forest Park	11/09/2016	W	1889
40350	UIC-Halsted	04/05/2015	U	1278
41270	43rd	10/20/2005	W	962
40160	LaSalle/Van Buren	05/23/2011	W	3025
41410	Chicago/Milwaukee	03/11/2004	W	2620
40290	Ashland/63rd	07/24/2015	W	1470
41240	Addison-O'Hare	10/24/2003	W	2710
40430	Clinton-Forest Park	07/26/2017	W	3894
41320	Belmont-North Main	02/01/2017	W	12402
40910	63rd-Dan Ryan	11/26/2001	W	3666
41060	Ashland-Orange	07/05/2002	W	1209
41260	Austin-Lake	11/12/2003	W	2016
41680	Oakton-Skokie	10/15/2012	W	994
40350	UIC-Halsted	04/04/2007	W	5200
40340	Berwyn	12/29/2008	W	2621
40810	Medical Center	03/26/2003	W	2244
40480	Cicero-Lake	07/07/2003	W	1103
40590	Damen/Milwaukee	07/26/2004	W	4251
40840	South Boulevard	02/17/2010	W	761
41170	Garfield-Dan Ryan	08/02/2017	W	3473
41090	Monroe/State	08/28/2011	U	2869
41340	LaSalle	01/07/2006	A	560
40580	54th/Cermak	02/12/2002	W	1476
40590	Damen/Milwaukee	08/10/2008	U	2692
40150	Pulaski-Cermak	07/28/2011	W	1134
40660	Armitage	02/13/2007	W	3748
40230	Cumberland	02/05/2007	W	3916
40440	California-Cermak	07/13/2008	U	494
40300	Indiana	07/14/2008	W	857
41230	47th-Dan Ryan	04/10/2011	U	2022
40560	Jackson/State	01/03/2012	W	12284
40830	18th	11/10/2017	W	1817
41660	Lake/State	11/11/2016	W	21531
40080	Sheridan	06/28/2009	U	5455
41440	Addison-Brown	07/27/2014	U	920
40760	Granville	05/04/2011	W	3849
41500	Montrose-Brown	05/29/2004	A	948
40230	Cumberland	03/12/2007	W	4782
