station_id	stationname	date	daytype	rides
40610	Ridgeland	11/16/2012	W	1435
40360	Southport	12/10/2012	W	3078
41420	Addison-North Main	09/14/2012	W	12825
41010	Rockwell	08/29/2012	W	1731
40100	Morse	03/19/2012	W	4475
40130	51st	02/15/2012	W	1205
40660	Armitage	12/12/2012	W	4548
40490	Grand/Milwaukee	02/04/2012	A	1082
40090	Damen-Brown	06/09/2012	A	1877
41130	Halsted-Orange	09/10/2012	W	3140
41660	Lake/State	12/05/2012	W	19173
41500	Montrose-Brown	08/04/2012	A	1912
40710	Chicago/Franklin	05/17/2012	W	6900
41300	Loyola	04/06/2012	W	4502
40090	Damen-Brown	09/18/2012	W	2552
41160	Clinton-Lake	02/08/2012	W	4481
40440	California-Cermak	11/08/2012	W	1525
40590	Damen/Milwaukee	06/01/2012	W	7067
41000	Cermak-Chinatown	09/03/2012	U	4057
40710	Chicago/Franklin	03/14/2012	W	6583
40460	Merchandise Mart	02/28/2012	W	7138
40780	Central Park	04/12/2012	W	1226
40350	UIC-Halsted	07/27/2012	W	3804
40790	Monroe/Dearborn	09/18/2012	W	7423
40850	Library	09/19/2012	W	5357
41320	Belmont-North Main	01/05/2012	W	12065
41020	Logan Square	05/29/2012	W	6240
40920	Pulaski-Forest Park	09/03/2012	U	1403
41130	Halsted-Orange	08/20/2012	W	2523
40930	Midway Airport	06/26/2012	W	9336
41400	Roosevelt	02/10/2012	W	11383
41230	47th-Dan Ryan	12/31/2012	W	2303
40900	Howard	06/15/2012	W	6734
40130	51st	09/27/2012	W	1281
41000	Cermak-Chinatown	04/13/2012	W	5258
41030	Polk	09/15/2012	A	1035
41330	Montrose-O'Hare	04/29/2012	U	836
40940	Halsted/63rd	05/04/2012	W	845
41040	Kedzie-Cermak	02/19/2012	U	477
40330	Grand/State	03/16/2012	W	12627
41120	35-Bronzeville-IIT	04/23/2012	W	2331
40780	Central Park	06/29/2012	W	1204
41000	Cermak-Chinatown	06/04/2012	W	4574
40290	Ashland/63rd	08/02/2012	W	1633
40380	Clark/Lake	12/14/2012	W	19023
