stationname	location
Central-Lake	(41.88793378909207, -87.76519748076545)
Lake/State	(41.88591238299722, -87.62812213831883)
Oak Park-Forest Park	(41.87193055198983, -87.78929215789584)
Kedzie-Homan-Forest Park	(41.87521197187465,-87.70602150207432)
Addison-North Main	(41.947462,-87.653636)
Chicago/State	(41.8967444212178,-87.62760529997247)
Austin-Forest Park	(41.87104756299363, -87.77656943068568)
Clinton-Lake	(41.88544566664145, -87.64217978647986)
East 63rd-Cottage Grove	(41.78057020729683, -87.6059138)
Grand/State	(41.89179062638469, -87.62819735733345)
Cicero-Cermak	(41.851278244423504, -87.74384454422976)
Jackson/State	(41.87826030913, -87.62768333065856)
Randolph/Wabash	(41.884383074723594, -87.62614900000001)
Grand/Milwaukee	(41.891233565917425, -87.64763578832965)
Damen-Brown	(41.96645980193913, -87.67869124414945)
Washington/Dearborn	(41.883742854485156, -87.62932055949413)
47th-Dan Ryan	(41.810120372885365, -87.63115874415298)
Morgan-Lake	(41.88560601704079, -87.65180028647985)
California/Milwaukee	(41.922928091081864, -87.69724520949327)
Sox-35th-Dan Ryan	(41.83134155594384, -87.63066697298817)
Chicago/Milwaukee	(41.89630913264691, -87.6558521036724)
O'Hare Airport	(41.976843987989916, -87.9047318172805)
Kedzie-Lake	(41.884497579534866, -87.70625194415129)
Irving Park-Brown	(41.954298342816195, -87.67521785764256)
Belmont-North Main	(41.93960988386471, -87.653345)
Western-Orange	(41.80535084903885, -87.68413064600304)
Clinton-Forest Park	(41.876038245006704, -87.64133291716576)
35-Bronzeville-IIT	(41.832031791050035, -87.6258867018239)
Monroe/State	(41.88073533125334, -87.62773920182279)
Irving Park-O'Hare	(41.953430563582415, -87.73009348647831)
Damen/Milwaukee	(41.91006914789916, -87.67797657298645)
Kedzie-Midway	(41.804220004876186, -87.70436308465716)
63rd-Dan Ryan	(41.78014792941038, -87.63101167298937)
Kedzie-Cermak	(41.851707970860545, -87.70508937483771)
Addison-Brown	(41.94703660705606, -87.67474695949267)
Division/Milwaukee	(41.90350673697066, -87.66729749400224)
Damen-Cermak	(41.85224114673077, -87.67569084600203)
Cicero-Lake	(41.88635179192213, -87.74542524230128)
Madison/Wabash	(41.882101040065805, -87.6260091883299)
Harlem-Lake	(41.886875791987784, -87.80385251346556)
Pulaski-Cermak	(41.85178198714543, -87.72525961901627)
Kedzie-Brown	(41.96609162456834, -87.70845340182086)
Harlem-O'Hare	(41.98236378037816, -87.8075333594919)
Chicago/Franklin	(41.8966697211897, -87.6354222711368)
Western-Forest Park	(41.87543506066848, -87.68654157273073)
California-Cermak	(41.85197097082767, -87.69572891716628)
Western-Cermak	(41.85185995407306, -87.68548760182347)
Halsted/63rd	(41.77893437494158, -87.64409943066082)
Pulaski-Forest Park	(41.87392687897132, -87.72993748463013)
Montrose-Brown	(41.96161881339261, -87.67525256131972)
Pulaski-Lake	(41.88549741777779, -87.72688916319404)
Harlem-Forest Park	(41.87350811250494, -87.80679438648014)
Ashland-Orange	(41.83899606744432, -87.66533144230233)
Garfield-Dan Ryan	(41.795441676551086, -87.63109945579622)
Halsted-Orange	(41.84686163267461, -87.64816686134495)
Addison-O'Hare	(41.946491221930586, -87.71836408622158)
Pulaski-Orange	(41.799915977329206, -87.7245829843743)
47th-South Elevated	(41.80930094856433, -87.61889753040398)
Midway Airport	(41.78864597824451, -87.74098145924027)
Western/Milwaukee	(41.916526846279766, -87.68699892855066)
Ashland-Lake	(41.88528175409703, -87.66695498807383)
Belmont-O'Hare	(41.93907311428381, -87.71231296108748)
Oak Park-Lake	(41.88694237922138, -87.79418177273048)
Library	(41.87688151376629, -87.62876401505909)
Montrose-O'Hare	(41.9608669571965, -87.7429088573854)
Cicero-Forest Park	(41.871601446667675, -87.74501639971587)
Medical Center	(41.87565123603201, -87.67207622855159)
Jackson/Dearborn	(41.87817984420032, -87.62917092670078)
Central-Evanston	(42.0638441839892, -87.68560708621877)
Austin-Lake	(41.98679913541993, -87.77771898495148)
California-Lake	(41.884222404654686, -87.69640591739373)
Garfield-South Elevated	(41.794710996830744, -87.61824861135943)
Monroe/Dearborn	(41.88103095143117, -87.62924817273064)
Western-Brown	(41.96608604723956, -87.68847417087777)
Skokie	(42.026173600375685, -87.74880913347236)
Washington/State	(41.883256188636906, -87.62788525553648)
Homan	(41.89536300330297, -87.71165760110829)
